epoch,train_reward,time_s
1,0.007644890807569027,0.0566015999938827
2,0.00806281715631485,0.07077980000758544
3,0.03023209422826767,0.09220450001885183
4,0.014286668039858341,0.093712100002449
5,0.03785841539502144,0.09601559999282472
6,0.05295400321483612,0.09146399999735877
7,0.0478513278067112,0.08592929999576882
8,0.05857454985380173,0.10859360001632012
9,0.06268429011106491,0.0992534999968484
10,0.061079464852809906,0.10485910001443699
11,0.08101370185613632,0.10480420000385493
12,0.08062593638896942,0.10323380000772886
13,0.08830354362726212,0.10283529997104779
14,0.09035360813140869,0.09114530001534149
15,0.09164036065340042,0.08839499999885447
16,0.10276606678962708,0.10181799999554642
17,0.11054740846157074,0.09968440001830459
18,0.11306482553482056,0.10296290001133457
19,0.11654546856880188,0.10068949998822063
20,0.12682104110717773,0.10350450000260025
21,0.13243594765663147,0.11682239998481236
22,0.13670212030410767,0.11894519999623299
23,0.13571502268314362,0.10454729999764822
24,0.15275725722312927,0.10742539999773726
25,0.14419035613536835,0.10910599998896942
26,0.14447396993637085,0.10695929999928921
27,0.16419361531734467,0.10409539999091066
28,0.15547582507133484,0.10376980001456104
29,0.1649184226989746,0.11157310000271536
30,0.16068850457668304,0.07878180002444424
31,0.16983923316001892,0.10095349999028258
32,0.16739337146282196,0.10041539999656379
33,0.17212878167629242,0.10419029998593032
34,0.1954357922077179,0.09986580000258982
35,0.18782934546470642,0.09812559999409132
36,0.17753884196281433,0.10186049999902025
37,0.1856338530778885,0.10998099998687394
38,0.180240198969841,0.08369259999017231
39,0.18636903166770935,0.10072940000100061
40,0.1904039829969406,0.1032755000051111
41,0.20956647396087646,0.09860090000438504
42,0.20315508544445038,0.09935870001208968
43,0.18441544473171234,0.09895690000848845
44,0.2025384157896042,0.10359330000937916
45,0.20010000467300415,0.0991986999870278
